iter	Passed	Remaining
0	1	1449
1	2	1317
2	3	1284
3	5	1250
4	6	1244
5	7	1240
6	8	1243
7	9	1238
8	12	1336
9	14	1420
10	15	1395
11	16	1377
12	17	1356
13	19	1340
14	20	1328
15	21	1314
16	22	1307
17	25	1383
18	27	1411
19	28	1407
20	30	1402
21	31	1411
22	33	1408
23	34	1403
24	35	1400
25	37	1397
26	56	2035
27	58	2044
28	60	2040
29	62	2013
30	64	2023
31	67	2034
32	68	2009
33	70	1990
34	73	2032
35	74	2007
36	76	1979
37	77	1955
38	78	1931
39	79	1907
40	80	1884
41	81	1866
42	83	1847
43	84	1828
44	85	1813
45	87	1813
46	89	1814
47	90	1798
48	91	1781
49	92	1764
50	93	1747
51	95	1735
52	98	1760
53	99	1748
54	101	1746
55	103	1740
56	104	1728
57	105	1715
58	106	1703
59	108	1692
60	109	1680
61	110	1676
62	112	1666
63	113	1655
64	114	1645
65	115	1633
66	117	1642
67	119	1631
68	120	1622
69	121	1613
70	122	1604
71	123	1595
72	125	1589
73	126	1582
74	127	1573
75	128	1564
76	129	1557
77	132	1562
78	133	1555
79	134	1548
80	135	1541
81	137	1534
82	138	1526
83	139	1519
84	140	1511
85	141	1504
86	142	1497
87	143	1492
88	145	1484
89	146	1483
90	148	1479
91	149	1473
92	150	1467
93	151	1461
94	153	1457
95	154	1453
96	155	1447
97	156	1442
98	157	1436
99	159	1431
100	160	1425
101	162	1428
102	163	1424
103	164	1419
104	165	1414
105	167	1412
106	168	1408
107	169	1403
108	170	1397
109	172	1392
110	173	1388
111	174	1383
112	175	1378
113	178	1383
114	179	1380
115	180	1375
116	182	1377
117	183	1373
118	184	1369
119	186	1365
120	187	1360
121	188	1356
122	189	1351
123	190	1346
124	192	1348
125	193	1344
126	195	1342
127	196	1339
128	198	1338
129	199	1334
130	200	1331
131	201	1327
132	203	1323
133	204	1319
134	205	1315
135	207	1317
136	209	1317
137	210	1314
138	211	1310
139	212	1305
140	213	1301
141	214	1294
142	215	1291
143	216	1288
144	217	1284
145	218	1279
146	219	1275
147	221	1273
148	223	1274
149	224	1272
150	225	1269
151	226	1265
152	228	1262
153	228	1257
154	230	1254
155	230	1247
156	231	1243
157	232	1239
158	233	1235
159	234	1232
160	237	1238
161	238	1235
162	240	1232
163	241	1229
164	242	1225
165	243	1222
166	244	1218
167	245	1215
168	246	1210
169	247	1207
170	248	1205
171	249	1202
172	252	1207
173	254	1206
174	255	1202
175	256	1199
176	257	1195
177	257	1190
178	258	1184
179	259	1184
180	261	1181
181	261	1176
182	262	1170
183	262	1165
184	264	1163
185	265	1162
186	267	1162
187	268	1160
188	269	1155
189	270	1153
190	271	1151
191	273	1149
192	274	1146
193	275	1144
194	276	1142
195	277	1139
196	279	1138
197	280	1135
198	283	1140
199	284	1138
200	285	1134
201	285	1129
202	287	1126
203	287	1121
204	287	1116
205	289	1114
206	289	1110
207	290	1105
208	291	1103
209	293	1102
210	293	1098
211	294	1094
212	295	1090
213	297	1092
214	298	1089
215	298	1085
216	299	1080
217	300	1076
218	301	1073
219	301	1069
220	302	1065
221	302	1061
222	303	1057
223	303	1052
224	304	1049
225	305	1045
226	306	1043
227	307	1042
228	308	1037
229	308	1034
230	309	1030
231	310	1026
232	311	1026
233	313	1025
234	314	1023
235	315	1022
236	316	1020
237	317	1016
238	318	1012
239	319	1011
240	320	1009
241	321	1008
242	322	1004
243	323	1002
244	323	998
245	325	999
246	327	997
247	328	995
248	328	991
249	329	989
250	330	985
251	330	982
252	331	978
253	332	976
254	333	974
255	334	970
256	335	970
257	337	970
258	338	968
259	341	970
260	342	969
261	343	968
262	344	966
263	345	964
264	347	963
265	349	963
266	350	961
267	351	959
268	352	957
269	353	955
270	354	953
271	356	954
272	357	952
273	358	950
274	360	949
275	361	947
276	362	946
277	363	943
278	364	942
279	365	940
280	366	938
281	367	936
282	368	933
283	369	931
284	371	932
285	373	931
286	374	930
287	376	929
288	377	928
289	378	927
290	379	925
291	381	924
292	382	922
293	383	920
294	384	918
295	385	917
296	387	916
297	388	915
298	389	913
299	390	912
300	391	909
301	392	907
302	393	904
303	394	902
304	395	900
305	396	899
306	397	897
307	398	896
308	400	896
309	402	895
310	403	894
311	405	893
312	407	893
313	408	891
314	409	890
315	410	888
316	411	887
317	412	885
318	413	882
319	416	884
320	417	883
321	419	882
322	420	881
323	421	880
324	423	878
325	424	877
326	425	876
327	426	874
328	427	872
329	429	871
330	432	874
331	433	872
332	434	871
333	436	869
334	437	867
335	438	866
336	439	865
337	441	863
338	442	862
339	443	861
340	446	862
341	447	861
342	448	860
343	450	858
344	451	857
345	453	856
346	454	855
347	455	853
348	456	852
349	458	851
350	460	850
351	461	850
352	463	849
353	464	848
354	466	847
355	467	846
356	469	844
357	470	843
358	471	841
359	472	839
360	473	838
361	476	839
362	477	838
363	479	837
364	480	835
365	481	834
366	483	833
367	484	832
368	486	831
369	487	830
370	488	828
371	490	828
372	493	828
373	494	827
374	495	826
375	497	825
376	498	823
377	499	822
378	501	821
379	502	819
380	503	818
381	506	819
382	508	818
383	509	817
384	510	815
385	511	814
386	513	813
387	514	812
388	516	810
389	517	809
390	519	808
391	522	811
392	524	810
393	526	809
394	527	808
395	529	807
396	530	805
397	531	804
398	533	802
399	534	801
400	536	801
401	538	800
402	539	798
403	540	797
404	541	795
405	543	794
406	544	792
407	545	791
408	546	789
409	547	788
410	548	786
411	550	784
412	552	784
413	553	783
414	554	781
415	555	780
416	557	779
417	558	777
418	559	776
419	560	774
420	561	772
421	563	771
422	564	769
423	565	768
424	567	767
425	568	766
426	570	765
427	571	764
428	573	762
429	574	761
430	575	759
431	576	758
432	577	756
433	578	754
434	580	753
435	582	753
436	583	752
437	585	750
438	586	749
439	587	747
440	588	746
441	590	744
442	591	743
443	592	741
444	593	740
445	594	738
446	597	739
447	599	738
448	600	736
449	601	735
450	603	734
451	604	732
452	605	731
453	607	730
454	608	728
455	609	726
456	610	725
457	612	724
458	614	723
459	615	722
460	616	720
461	617	719
462	619	717
463	620	716
464	621	715
465	623	713
466	624	712
467	625	711
468	628	711
469	629	710
470	631	708
471	632	707
472	633	705
473	634	704
474	636	703
475	637	701
476	638	700
477	640	698
478	642	698
479	644	698
480	646	697
481	648	696
482	649	695
483	650	693
484	651	691
485	652	689
486	653	688
487	655	687
488	658	688
489	660	687
490	661	685
491	662	684
492	664	683
493	665	682
494	667	680
495	668	679
496	669	678
497	673	678
498	674	677
499	675	675
500	677	674
501	678	673
502	680	672
503	681	671
504	683	669
505	684	667
506	685	666
507	687	666
508	689	665
509	690	663
510	692	662
511	693	660
512	694	659
513	695	657
514	697	656
515	698	655
516	699	653
517	700	651
518	703	651
519	704	650
520	705	648
521	707	647
522	708	645
523	709	644
524	710	643
525	711	641
526	713	640
527	714	638
528	715	636
529	716	635
530	718	634
531	719	633
532	720	631
533	722	630
534	722	628
535	723	626
536	725	625
537	726	623
538	727	622
539	728	620
540	729	619
541	730	617
542	732	616
543	734	615
544	735	613
545	737	612
546	738	611
547	739	610
548	740	608
549	741	607
550	743	605
551	744	604
552	745	602
553	748	602
554	750	601
555	751	600
556	753	599
557	755	598
558	756	596
559	757	595
560	758	593
561	759	592
562	761	590
563	763	590
564	765	589
565	766	587
566	767	586
567	768	584
568	770	583
569	771	582
570	772	580
571	773	579
572	775	577
573	776	576
574	778	575
575	779	574
576	780	572
